Variable,Climatology
rsus,"[  -1.03074008   -7.74081982  -38.34035391 -105.775679   -138.60422244
  -82.41800159  -35.0204623   -13.85571489   -4.97579587   -1.52449189
   -0.31687433   -0.18748952]"
rsds,"[  2.01179368  13.25103036  61.22105365 167.45086884 263.52523078
 292.72071212 227.47038527 113.63001122  37.02239895   8.1686717
   1.35026657   0.53180299]"
rlus,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
rlds,"[-44.64427369 -43.16848657 -45.61803715 -50.16280886 -42.66972428
 -37.74054553 -34.44639875 -33.9792511  -37.74925741 -42.6883754
 -45.32418671 -46.32707521]"
hfss,"[-22.03658454 -20.26015848 -18.3434363  -14.22437632  -8.85104659
  -6.74644207  -6.6322658   -6.05603928 -10.20107477 -18.50885807
 -25.26690466 -24.99824536]"
hfls,"[-25.5037823  -24.07796207 -22.28103578 -20.1960548  -21.591214
 -19.70336528 -16.22660544 -20.03384656 -30.4042721  -35.70171364
 -34.24741402 -29.09157378]"
total,"[ -91.20358693  -81.99639659  -63.36180949  -22.90805013   51.80902347
  146.11235765  135.14465298   39.70515939  -46.3080012   -90.2547673
 -103.80511316 -100.07258088]"
siconc,"[12.01105681 12.51676041 12.67308899 12.46343887 11.24421564  8.14452368
  2.65677308  0.43356806  0.31988712  2.34019989  7.19966012 10.47264739]"
area_albedo,"[0.5123488  0.58416739 0.62626093 0.63168188 0.52596187 0.28155849
 0.15395614 0.12193711 0.13439961 0.18662666 0.23467539 0.35255446]"
volume,"[12.94246751 16.61166813 19.29246504 20.84198007 19.85987967 11.98677798
  1.92538903  0.22351544  0.17140262  0.77921133  3.6079303   8.24292891]"
